1578677165255;86.518;2115.893
1578677165759;87.312;2115.700
1578677166258;87.543;2115.831
1578677166755;87.420;2116.227
1578677167257;88.653;2116.085
1578677167756;88.899;2115.723
1578677168257;89.053;2115.455
1578677168757;90.588;2113.923
1578677169254;88.730;2112.992
1578677169757;89.209;2113.414
1578677170254;87.735;2113.251
1578677170755;87.163;2113.299
1578677171255;86.437;2113.961
1578677171756;85.746;2114.433
1578677172257;86.559;2115.825
1578677172760;86.538;2117.626
1578677173255;86.500;2116.769
1578677173754;86.120;2118.686
1578677174254;88.248;2117.693
1578677174755;87.605;2116.980
1578677175257;86.986;2116.989
1578677175759;85.877;2116.840
1578677176258;85.919;2117.114
1578677176757;85.967;2118.372
1578677177254;84.365;2119.568
1578677177757;84.108;2118.813
1578677178254;83.540;2117.022
1578677178759;83.307;2117.090
1578677179254;82.636;2116.418
1578677179760;83.682;2116.261
1578677180255;83.961;2117.358
1578677180756;82.525;2116.590
1578677181258;81.025;2116.636
1578677181755;80.746;2116.297
1578677182255;80.986;2115.907
1578677182756;81.185;2116.044
1578677183255;80.971;2117.203
1578677183758;81.441;2116.817
1578677184257;80.089;2116.343
1578677184755;79.387;2115.816
1578677185257;79.303;2115.107
1578677185757;78.364;2115.273
1578677186255;79.069;2114.032
1578677186757;78.210;2113.649
1578677187255;77.335;2113.428
1578677187757;77.034;2112.241
1578677188258;76.862;2110.889
1578677188757;78.619;2111.531
1578677189255;78.583;2111.228
1578677189757;79.334;2110.935
1578677190255;80.913;2110.739
1578677190757;81.295;2110.078
1578677191255;82.111;2111.094
1578677191757;82.530;2111.523
1578677192259;84.406;2112.811
1578677192757;83.209;2114.496
1578677193255;83.369;2115.322
1578677193758;83.251;2114.521
1578677194255;84.709;2114.078
1578677194755;84.095;2114.971
1578677195255;84.248;2116.735
1578677195755;83.596;2117.943
1578677196258;83.459;2119.082
1578677196757;83.940;2120.211
1578677197258;83.214;2120.151
1578677197758;83.158;2119.217
1578677198258;83.468;2118.603
1578677198755;82.802;2118.933
1578677199255;82.419;2121.327
1578677199758;82.847;2120.351
1578677200255;85.471;2119.203
1578677200760;84.439;2118.282
1578677201255;82.837;2118.473
1578677201758;83.144;2119.552
1578677202255;83.256;2121.886
1578677202760;83.446;2123.425
1578677203255;82.078;2123.510
1578677203757;81.131;2122.762
1578677204255;80.142;2122.571
1578677204755;78.988;2122.068
1578677205255;78.647;2123.588
1578677205756;78.766;2126.027
1578677206256;77.590;2127.394
1578677206757;78.517;2129.298
1578677207259;77.102;2128.433
